customerID,MonthlyCharges,tenure,Contract,InternetService,Churn_Probability
5542-TBBWB,69.9,1,Month-to-month,Fiber optic,0.97720647
1628-BIZYP,85.0,1,Month-to-month,Fiber optic,0.96797717
3587-PMCOY,98.9,10,One year,Fiber optic,0.9666657
2254-DLXRI,79.15,1,Month-to-month,Fiber optic,0.95330334
7577-SWIFR,89.25,1,Month-to-month,Fiber optic,0.9524744
9927-DSWDF,104.6,22,Month-to-month,Fiber optic,0.9513018
2018-QKYGT,81.05,1,Month-to-month,Fiber optic,0.948291
4927-WWOOZ,91.45,2,Month-to-month,Fiber optic,0.9451516
2657-VPXTA,88.85,10,Month-to-month,Fiber optic,0.94159335
7439-DKZTW,80.55,1,Month-to-month,Fiber optic,0.9395169
1941-HOSAM,90.1,1,Month-to-month,Fiber optic,0.9357169
1452-VOQCH,75.1,1,Month-to-month,Fiber optic,0.9301601
0187-QSXOE,89.0,7,Month-to-month,Fiber optic,0.9288643
7465-ZZRVX,70.35,1,Month-to-month,Fiber optic,0.9233335
2545-EBUPK,84.05,2,Month-to-month,Fiber optic,0.9169113
5168-MSWXT,94.75,8,Month-to-month,Fiber optic,0.90934336
6137-NICCO,94.05,6,Month-to-month,Fiber optic,0.90889025
8118-TJAFG,101.5,9,Month-to-month,Fiber optic,0.9083304
1640-PLFMP,70.25,1,Month-to-month,Fiber optic,0.9078877
5501-TVMGM,55.25,1,Month-to-month,DSL,0.9068599
9603-OAIHC,70.05,1,Month-to-month,Fiber optic,0.90684605
3878-AVSOQ,71.25,1,Month-to-month,Fiber optic,0.906804
0021-IKXGC,72.1,1,Month-to-month,Fiber optic,0.906804
4273-MBHYA,89.35,1,Month-to-month,Fiber optic,0.9057717
3318-NMQXL,92.0,3,Month-to-month,Fiber optic,0.9054794
6215-NQCPY,99.7,15,Month-to-month,Fiber optic,0.9050756
4633-MKHYU,88.4,9,Month-to-month,Fiber optic,0.90319383
4234-XTNEA,79.95,2,Month-to-month,Fiber optic,0.90252256
9605-WGJVW,70.2,1,Month-to-month,Fiber optic,0.90250343
3384-CTMSF,104.1,47,Month-to-month,Fiber optic,0.8989611
7363-QTBIW,79.75,9,Month-to-month,Fiber optic,0.8989599
2924-KHUVI,100.55,56,One year,Fiber optic,0.8988533
4445-ZJNMU,99.3,9,Month-to-month,Fiber optic,0.8967741
8161-QYMTT,94.1,7,Month-to-month,Fiber optic,0.8933999
4912-PIGUY,84.6,1,Month-to-month,Fiber optic,0.8926518
5032-MIYKT,70.7,1,Month-to-month,Fiber optic,0.89161974
5382-SOYZL,95.1,22,Month-to-month,Fiber optic,0.8909613
4847-TAJYI,89.35,6,Month-to-month,Fiber optic,0.8908455
8087-LGYHQ,94.05,9,Month-to-month,Fiber optic,0.89080524
6786-OBWQR,80.85,5,Month-to-month,Fiber optic,0.8894221
9617-INGJY,70.6,1,Month-to-month,Fiber optic,0.88663584
8309-IEYJD,70.6,1,Month-to-month,Fiber optic,0.88645977
6559-PDZLR,98.65,26,Month-to-month,Fiber optic,0.8847762
0376-OIWME,93.6,36,Month-to-month,Fiber optic,0.88276064
4115-NZRKS,89.15,7,Month-to-month,Fiber optic,0.88128126
1319-YLZJG,84.6,12,Month-to-month,Fiber optic,0.87473315
4123-DVHPH,88.05,9,Month-to-month,Fiber optic,0.8709228
1393-IMKZG,95.85,1,Month-to-month,Fiber optic,0.8666938
1357-BIJKI,98.25,50,One year,Fiber optic,0.8662653
0722-SVSFK,100.4,7,Month-to-month,Fiber optic,0.8654836
3422-GALYP,79.45,2,Month-to-month,Fiber optic,0.8623745
2754-SDJRD,100.15,8,Month-to-month,Fiber optic,0.86235994
9643-AVVWI,80.0,3,Month-to-month,Fiber optic,0.86182684
6229-LSCKB,79.7,6,Month-to-month,Fiber optic,0.8615059
2800-QQUSO,100.3,42,Month-to-month,Fiber optic,0.8613534
